" ( ... ) сіз дұрыс айтасыз , біздің қаржылық құралдарымыздың сақталуы күшеюде , банктердегі депозиттер көбеюде .	" you correctly say that the safety of financial assets is growing , deposits are being raised in banks .	0.739201
халыққа арналған жэк	fuel and energy sector for the population	0,03
тұтынылған тамақ өнімдерінің энергетикалық құндылығы	energy value of consumed food	0,03
атырау	atyrau region	0,04
ақмола	akmola region	0,04
ақтөбе	aktobe region	0,04
жамбыл	jambyl region	0,04
жамбыл	zhambylskaya	0,04
күнкөрістің ең төменгі деңгейінің шамасы	the cost of living wage	0,04
өнімге салынатын салықтар	product taxes	0,05
өсімдік шаруашылығы өнімі	crop products	0,05
азық-түлік тауарлары	foodstuffs	0,05
тмд бойынша барлығы	cis , total	0,06
құмшекер	granulated sugar	0,07
оның ішінде :	of them	0,09
қыздар	young ladies	0,09
жеке үйлер	individual houses	0,09
қарақұмық жармасы	buckwheat	0,09
басқалары	other	0,10
білім	education	0,10
павлодар	pavlodar region	0,10
қостанай	kostanay region	0,10
абаттандырылмаған тұрғын үйлерді алып сату	resale unsuitable housing	0,11
шикізат	raw materials	0,11
ең төмен күнкөріс деңгейінің шамасы	amount of subsistence	0,12
ең төмен күнкөріс деңгейінің шамасы	the cost of living wage	0,12
маңғыстау	mangistau region	0,12
түркістан	turkestan region	0,12
қарағанды	karaganda region	0,12
қызылорда	kyzylorda region	0,12
өсімдік шаруашылығы өнімі	crop production	0,12
төмендетілген тариф	reduced fare	0,12
жергілікті өзін өзі басқару	local government	0,13
пайызбен	in percentages	0,13
шымкент қаласы	shymkent	0,13
кәсіптер мен қызметтер бойынша орташа айлық атаулы жалақысы	on certain professions and positions in the context of the regions of the republic of kazakhstan	0,14
азық-түлік тауары	foodstuffs	0,14
абаттандырылған тұрғын үйді жалға алу төлемі	rent for comfortable housing	0,14
азық-түлік тауарлары	food products	0,14
ақ қауанды қырыққабат	white cabbage	0,14
аралық тұтыну өнімдері	intermediate consumption products	0,14
вице-министр алматыда белсенді жеке кәсіпкерлік субъектілері жиналғандығын атап көрсетті .	the vice-minister of the ministry of education and science noted that active subjects of private entrepreneurship are concentrated in almaty , representations of international organizations , foreign investors are consolidated .	0,14
ақуыз	proteins	0,15
ерлер	men	0,15
жалпы ішкі өнім	gross domestic product	0,15
жүк	cargo	0,15
күріш	pic	0,15
теңге	kzt	0,15
топ	group	0,15
