Мемлекет басшысы Өзбекстан Президенті Шавкат Мирзиёевпен телефон арқылы сөйлесті	Telephone conversation with President of Uzbekistan Shavkat Mirziyoyev
Мемлекет басшысы МАГАТЭ-нің Бас директоры Юкия Аманоның қайтыс болуына байланысты көңіл айту жеделхатын жолдады	Telegram of condolence on the occasion of demise of Yukiya Amano, IAEA Director General
Мемлекет басшысы Valmont Industries компаниясының президенті, бас директоры Стив Каневскиді қабылдады	Head of State receives Stephen Kaniewski, President and CEO of Valmont Industries
Қасым-Жомарт Тоқаев Өзбекстан Республикасына мемлекеттік сапармен барды	State visit to the Republic of Uzbekistan
Нұрсұлтан Назарбаев Ресей Федерациясының Президенті Владимир Путинге көңіл айту жеделхатын жолдады	Telegram of condolences to Vladimir Putin, the President of the Russian Federation
Қазақстан Президенті «Спортклуб Маңғыстау-Арена» көпфункционалды спорт кешеніне барды	Visiting "Mangystau Arena Sports Club" multifunctional sporting complex
Елбасы Маңғыстау облысына жұмыс сапарымен келді	Working trip to Mangistau region
Қазақстан Президенті Әзербайжан Республикасына ресми сапарының қорытындысы бойынша БАҚ өкілдері үшін брифинг өткізді	Briefing for the media after the official visit to the Republic of Azerbaijan
Қазақстан Республикасының Мемлекеттік хатшысы Гүлшара Әбдіқалықова Ұлыбританияға тағылымдамаға жіберілетін «Болашақ» халықаралық бағдарламасы стипендиаттарымен, судьялармен және сот жүйесі қызметкерлерімен өткен кездесуге қатысты	Gulshara Abdykalikova, Kazakhstan’s State Secretary, takes part in the meeting with "Bolashak" int’l scholarship holders, judges and judicial system employees aimed at training in the UK
Мемлекет басшысы Нұрсұлтан Назарбаев Әзербайжан Республикасының Президенті Ильхам Әлиевпен кеңейтілген құрамда келіссөз жүргізді	Negotiations with Ilham Aliyev, the President of the Republic of Azerbaijan, in expanded format
Қазақстан Президенті Әзербайжан Республикасының Президенті Ильхам Әлиевпен кездесті	Meeting with Ilham Aliyev, President of the Republic of Azerbaijan
Нұрсұлтан Назарбаев Шаһиттер аллеясындағы мәңгілік алау мен Әзербайжанның жалпыұлттық көшбасшысы Гейдар Әлиевтің бейітіне гүл шоғын қою рәсіміне қатысты	Participation in flower-laying ceremonies to the Eternal Flame at the Martyrs’ Lane and laying a wreath to the grave of Heydar Aliyev, Azerbaijan’s National Leader
Елбасы Ұлттық қауіпсіздік комитетінің төрағасы Кәрім Мәсімовті қабылдады	Meeting with Karim Massimov, Chairman of the National Security Committee
Мемлекеттік хатшы Гүлшара Әбдіқалықованың төрағалығымен Қазақстан Республикасының Президенті жанындағы Сыбайлас жемқорлыққа қарсы іс-қимыл мәселелері жөніндегі комиссия отырысы өтті	Meeting of the Corruption Control Commission under the President of Kazakhstan chaired by Gulshara Abdykalikova, the Secretary of State
Қазақстан Президенті Қасым-Жомарт Тоқаев «Ақтау халықаралық теңіз сауда порты ұлттық компаниясы» акционерлік қоғамына барды	Visit to Aktau International Sea Trade Port
Мемлекет басшысы Дубай халықаралық қаржы орталығында болды	Visit to the Dubai International Financial Center
Қазақстан Республикасының Мемлекеттік хатшысы Гүлшара Әбдіқалықова Дүниежүзілік театр күніне орай тұңғыш рет тағайындалған «Сахнагер – 2017» ұлттық театр сыйлығымен марапаттауға арналған салтанатты іс-шараға қатысты	Participation of Gulshara Abdykalikova, Kazakhstan’s Secretary of State, in the solemn ceremony of "Sakhnager-2017" first-ever national theater prize awarding on World Theater Day
Қазақстан Президенті Біріккен Араб Әмірліктерінің Вице-Президенті, Премьер-Министрі, Дубай әмірлігінің билеушісі, шейх Мұхаммед бен Рашид Әл Мактуммен кездесті	Meeting with Sheikh Muḥammad bin Rāshid al Maktūm, Vice-President, Prime Minister of the United Arab Emirates and Emir of Dubai
Нұрсұлтан Назарбаев Өзбекстан Республикасының Президенті Шавкат Мирзиёевпен бірге Астана қаласының көрнекті орындарын аралады	Sightseeing Astana jointly with Shavkat Mirziyoyev, the President of Uzbekistan
Қазақстан Президенті Нұрсұлтан Назарбаев Өзбекстан Президенті Шавкат Мирзиёевпен кеңейтілген құрамда келіссөз жүргізді	Negotiations with Shavkat Mirziyoyev, the President of Uzbekistan, in an expanded format
Мемлекет басшысы Ұлыбритания және Солтүстік Ирландия Біріккен Корольдігінің Премьер-Министрі Тереза Мэйге Лондон қаласында болған террорлық актіге байланысты көңіл айту жеделхатын жолдады	Telegram of condolences to Theresa May, Prime Minister of the United Kingdom of Great Britain and Northern Ireland, in connection with the terrorist act in London
Нұрсұлтан Назарбаев Қазақстанға мемлекеттік сапармен келген Өзбекстан Республикасының Президенті Шавкат Мирзиёевпен кездесті	Meeting with Shavkat Mirziyoyev, the President of Uzbekistan, who is on a state visit in Kazakhstan
Елбасы Наурыз мейрамына арналған мерекелік іс-шараға қатысты	Participation in Nauryz Meiramy celebration
Мемлекет басшысы Нұрсұлтан Назарбаев Геннадий Головкинге WBA (Super), WBC, IBO және IBF тұжырымдары бойынша кәсіпқойлар арасындағы бокстан әлем чемпионы атағын қорғап қалуына байланысты құттықтау жолдады	Congratulation to Gennady Golovkin on defending the world title in boxing according to WBA (Super), WBC, IBO and IBF
Қазақстан Президенті Нұрсұлтан Назарбаев Ресей Федерациясының Президенті Владимир Путинмен телефон арқылы сөйлесті	Telephone conversation with Vladimir Putin, President of the Russian Federation
Қасым-Жомарт Тоқаев Теңіз академиясына барды	Visit to the Maritime Academy
Нұрсұлтан Назарбаев Қазақстан Республикасы Ұлттық олимпиадалық комитетінің 25 жылдығына арналған салтанатты іс-шараға қатысты	Participation in the solemn event on the 25th anniversary of Kazakhstan’s National Olympic Committee
Қазақстан Президенті республикалық БАҚ өкілдерімен кездесті	Meeting with the national mass media
Елбасы Ақмола облысының активімен өңірдің әлеуметтік-экономикалық даму мәселелері жөнінде кеңес өткізді	Meeting with Akmola region activists on socio-economic development issues
Мемлекет басшысы Қарағанды облысының активімен өңірдің әлеуметтік-экономикалық даму мәселелері жөнінде кеңес өткізді	Meeting with the Karaganda region’s active on socio-economic development
Қазақстан Республикасының Мемлекеттік хатшысы Гүлшара Әбдіқалықованың төрағалығымен Шет елдерде кадр даярлау жөніндегі республикалық комиссияның отырысы өтті	Meeting of the National Commission for Int’l Personnel Training chaired by Kazakhstan’s Secretary of State Gulshara Abdykalikova
Қазақстан Республикасының Мемлекеттік хатшысы Гүлшара Әбдіқалықованың төрағалығымен Мемлекеттік рәміздер мен ведомстволық және оларға теңестірілген өзге де наградалар геральдикасы мәселелері жөніндегі республикалық комиссия отырысы өтті	Meeting of the National Commission for State Symbols and Heraldry of Departmental and Other Equated Awards, chaired by Kazakhstan’s Secretary of State Gulshara Abdykalikova
Нұрсұлтан Назарбаев Сербия Республикасының Президенті Томислав Николичпен телефон арқылы сөйлесті	Telephone conversation with Tomislav Nikolic, President of the Republic of Serbia
Қазақстан Президенті «Астана Бас жоспары» ғылыми-зерттеу жобалық институты» жауапкершілігі шектеулі серіктестігінде болды	Visiting “Astanagenplan” Research and Design Institute
Елбасы Л.Н.Гумилев атындағы Еуразия ұлттық университетінің ректоры Ерлан Сыдықовты қабылдады	Meeting with Yerlan Sydykov, Rector of the Gumilyov Eurasian National University
Мемлекет басшысы 8 наурыз – халықаралық әйелдер күнін мерекелеуге арналған «Әлемнің жарығы» атты салтанатты концертті тамашалады	Visit to the concert dedicated to the International Women's Day on March 8
Қазақстан Президенті Қасым-Жомарт Тоқаев Ақтау қаласындағы №2 емханаға барды	Visit to Aktau’s municipal polyclinic 2
Нұрсұлтан Назарбаев Қазақстанның әйелдер қауымы өкілдерімен «Көктем шуағы» атты кездесу өткізді	Meeting with representatives of Kazakhstan’s "Koktem Shuagy" Women's Community
Қазақстан Президенті Ауғанстан Ислам Республикасының Президенті Мохаммад Ашраф Ғанимен телефон арқылы сөйлесті	Telephone conversation with Mohammad Ashraf Ghani, President of the Islamic Republic of Afghanistan
Елбасы Дін істері және азаматтық қоғам министрі Нұрлан Ермекбаевты қабылдады	Meeting with Nurlan Yermekbayev, Minister for Religious Affairs and Civil Society
Мемлекет басшысына қол қою үшін ұсынылған «Қазақстан Республикасының Конституциясына өзгерістер мен толықтырулар енгізу туралы» заң Конституциялық Кеңеске жолданды	"On Amendments and Additions to the Constitution of the Republic of Kazakhstan" Law for the Head of State’s signature forwarded to the Constitutional Council
Нұрсұлтан Назарбаев Ресей Федерациясының Президенті Владимир Путинмен телефон арқылы сөйлесті	Telephone conversation with Vladimir Putin, President of the Russian Federation
Қазақстан Президенті Украина Президенті Петр Порошенкоға көңіл айту жеделхатын жолдады	Telegram of condolences to President of Ukraine Petro Poroshenko
Мемлекет басшысы Қазақстан Республикасының Парламенті палаталарының бірлескен отырысына қатысты	Participation in the joint meeting of Kazakhstan’s Parliament Chambers
Елбасы Мемлекеттік билік тармақтары арасында өкілеттіктерді қайта бөлу мәселелері жөніндегі жұмыс тобының отырысына қатысты	Participation in the meeting of the Working Group on reauthorization between governmental branches
Қазақстан Республикасының Мемлекеттік хатшысы Гүлшара Әбдіқалықова Алғыс айту күніне арналған Қазақстан халқы Ассамблеясының форумына қатысты	The Secretary of State Gulshara Abdykalikova participates in the Assembly of People of Kazakhstan’s Forum on the Day of Thankfulness
Қазақстан Президенті Нұрсұлтан Назарбаев Ресей Федерациясының Президенті Владимир Путинмен кездесті	Meeting with the Russian Federation President Vladimir Putin
Қазақстан Президенті Ақтау қаласындағы кәсіпкерлерге қызмет көрсету орталығына барды	Visit to the business service centre of Aktau city
Ақордада Мемлекеттік билік тармақтары арасында өкілеттіктерді қайта бөлу мәселелері жөніндегі жұмыс тобының отырысы өтті	The meeting of the Working Group on Reauthorization of Governmental Branches takes place in Akorda
Мемлекет басшысының төрағалығымен Қауіпсіздік кеңесінің отырысы өтті	The Security Council Session chaired by the Head of State
Қазақстан Президенті Нұрсұлтан Назарбаев Беларусь Республикасының Президенті Александр Лукашенкомен телефон арқылы сөйлесті	Telephone conversation with President of Belarus Alexander Lukashenko
Қазақстан Республикасының Мемлекеттік хатшысы Гүлшара Әбдіқалықова Ресей Федерациясының Мәдениет министрі Владимир Мединскиймен кездесті	Meeting of Kazakhstan’s Secretary of State Gulshara Abdykalikova with the Culture Minister of Russia Vladimir Medinskiy
Қазақстан Республикасының Мемлекеттік хатшысы Гүлшара Әбдіқалықова Жамбыл облысына жұмыс сапарымен барды	Working visit of Kazakhstan’s Secretary of State Gulshara Abdykalikova to Zhambyl region
Мемлекет басшысы Ақтөбе облысының әкімі Бердібек Сапарбаевты қабылдады	Meeting with Berdybek Saparbayev, Akim of Aktobe region
Елбасы жұртшылық және зиялы қауым өкілдерімен, саяси қайраткерлермен кездесті	Meeting with representatives of the public, intellectuals and politicians
Нұрсұлтан Назарбаев Түрікменстан Президенті Гурбангулы Бердімұхамедовпен телефон арқылы сөйлесті	Telephone conversation with President of Turkmenistan Gurbanguly Berdimuhamedow
Қазақстан Президенті Оңтүстік Қазақстан облысының әкімі Жансейіт Түймебаевты қабылдады	Meeting with Zhanseit Tuimebaev, the akim of South Kazakhstan
Мемлекет басшысы Нұрсұлтан Назарбаев Гурбангулы Бердімұхамедовке Түрікменстан Президенті болып сайлануына байланысты құттықтау жеделхатын жолдады	Telegram of congratulations to Gurbanguly Berdimuhamedow on his election as the President of Turkmenistan
Қазақстан Президенті Қасым-Жомарт Тоқаев М.В.Ломоносов атындағы Мәскеу мемлекеттік университетінің ректоры Виктор Садовничий мен Халықаралық ынтымақтастық және жариялық дипломатия жөніндегі Ресей қоғамдық кеңесінің төрағасы Сергей Орджоникидзені қабылдады	President of Kazakhstan Kassym-Jomart Tokayev receives Viktor Sadovnichy, Rector of the Lomonosov Moscow State University and Sergei Ordzhonikidze, Chair of the Russian Public Council for International Cooperation and Public Diplomacy
Нұрсұлтан Назарбаев Франк-Вальтер Штайнмайерге Германия Федеративтік Республикасының Президенті болып сайлануына байланысты құттықтау жеделхатын жолдады	Congratulation telegram to Frank-Walter Steinmeier in relation to his election as the President of Germany
Елбасы «Қыз Жібек» операсының премьерасында болды	Visiting "Kyz Zhibek" opera’s opening night
Қазақстан Президентінің төрағалығымен экономиканың жеделдетілген технологиялық жаңғыртылуының мәселелері жөніндегі кеңес өтті	Meeting on speedy technological modernization of the economy chaired by the Head of State
Мемлекеттік хатшы Гүлшара Әбдіқалықова «Корпоративтік сектордағы әйелдер мүмкіндіктерін кеңейту» атты халықаралық форумға қатысты	The Secretary of State Gulshara Abdykalikova’s participation in "Empowerment of Women in Corporate Sector" international forum
Мемлекеттік хатшы Гүлшара Әбдіқалықованың төрағалығымен Қазақстан Республикасының Президенті жанындағы Сыбайлас жемқорлыққа қарсы іс-қимыл мәселелері жөніндегі комиссия отырысы өтті	Session of the Presidential Corruption Control Committee chaired by Secretary of State Gulshara Abdykalikova
Мемлекет басшысы Мәдениет және спорт министрі Арыстанбек Мұхамедиұлын қабылдады	The Head of State receives Culture and Sport Minister Arystanbek Muhamediuly
Қазақстан Президенті Энергетика министрі Қанат Бозымбаевты қабылдады	Meeting with Kanat Bozumbayev, the Energy Minister
Нұрсұлтан Назарбаев 28-ші Дүниежүзілік қысқы универсиадада Қазақстанның ұлттық құрамасының зор жетістікке жетуіне орай құттықтау жолдады	Congratulations to Kazakhstan’s national team on the successful 28th World Winter Universiade
Елбасы Білім және ғылым министрі Ерлан Сағадиевті қабылдады	Meeting with Yerlan Sagadiev, Minister of Education and Science
Қазақстан Республикасының Мемлекеттік хатшысы Гүлшара Әбдіқалықова Сербияның Қазақстан Республикасындағы Төтенше және өкілетті елшісі Владимир Мирковичпен оның дипломатиялық миссиясының аяқталуына байланысты кездесу өткізді	Kazakhstan’s Secretary of State Gulshara Abdykalikova meets with Vladimir Mirkovic, Ambassador Extraordinary and Plenipotentiary of Serbia in Kazakhstan, upon his diplomatic mission completion
«Nur Otan» Партиясының Төрағасы, Елбасы Нұрсұлтан Назарбаев «Nur Otan» партиясы» қоғамдық бірлестігінің кезектен тыс XIX Съезін шақыру туралы Қаулыға қол қойды	Elbasy Nursultan Nazarbayev, Chair of Nur Otan Party, signs Decree on convocation of early XIX Congress of Nur Otan Party public association
Мемлекет басшысы Бас прокурор Жақып Асановты қабылдады	The meeting with the Prosecutor General Zhakip Asanov
Нұрсұлтан Назарбаев Чех Республикасы Парламентінің Депутаттар палатасының төрағасы Ян Гамачекпен кездесті	Nursultan Nazarbayev meets with Jan Hamáček, the Chamber of Deputies’ Chairman of the Czech Republic Parliament
Қазақстан Президенті Үкіметтің кеңейтілген отырысына қатысты	Expanded meeting of the Government with participation of the Head of State
Елбасы саяси мемлекеттік қызметшілердің ант беру рәсіміне қатысты	Participation in the oath rite of the political officers of state
Мемлекет басшысы Нұрсұлтан Назарбаев Пәкістан Ислам Республикасының Премьер-Министрі Наваз Шарифпен телефон арқылы сөйлесті	Telephone conversation with Prime Minister of Pakistan Nawaz Sharif
Нұрсұлтан Назарбаев 2017 жылғы 28-ші Дүниежүзілік қысқы универсиаданың ашылу рәсіміне қатысты	Participation in the opening ceremony of the 28th World Winter Universiade-2017
Қазақстан Президенті Нұрсұлтан Назарбаев Ресей Федерациясының Президенті Владимир Путинмен телефон арқылы сөйлесті	Telephone conversation with the Russian Federation President Vladimir Putin
Ақпараттық хабарлама	Information Statement
Мемлекет басшысы Назарбаев Университетінің медицина мектебінде болды	Visit to the School of Medicine’s new building at Nazarbayev University
Нұрсұлтан Назарбаев 2017 жылғы 28-ші Дүниежүзілік қысқы универсиада алауын жағу рәсіміне қатысты	Participation in the ceremony of lighting the fire of the 28th World Winter Universiade-2017
Қазақстан Президенті Денсаулық сақтау министрі Елжан Біртановты қабылдады	President of Kazakhstan Kassym-Jomart Tokayev receives Health Minister Yelzhan Birtanov
Қазақстан Президенті Республикалық бюджеттің орындалуын бақылау жөніндегі есеп комитетінің төрағасы Қозы-Көрпеш Жаңбыршинді қабылдады	Meeting with Kozy-Korpesh Dzhanburchin, the Chairman of the Accounts Committee for Control over Execution of the Republican Budget
Елбасы Мемлекеттік билік тармақтары арасында өкілеттіктерді қайта бөлу мәселелері жөніндегі жұмыс тобының отырысына қатысты	Participation in the meeting of the Working Group for reauthorization of governmental departments
Мемлекет басшысы «Атамекен» ұлттық кәсіпкерлер палатасының басшылығын қабылдады	Meeting with “Atameken” National Chamber of Entrepreneurs’ leadership
Нұрсұлтан Назарбаев БҰҰ Бас хатшысының Сирия бойынша арнаулы өкілі Стаффан де Мистурамен кездесті	Meeting with the UN Secretary General Special Envoy for Syria Staffan de Mistura
Қазақстан Республикасының Тұңғыш Президенті – Елбасының мәдениет саласындағы 2016 жылғы мемлекеттік стипендиясы табыс етілді	Presentation of Kazakhstan’s First President state scholarships in culture
Елбасы Жоғары Сот кеңесінің төрағасы Анатолий Смолинді қабылдады	Meeting with Anatoly Smolin, the Supreme Judicial Council Chairman
Қазақстан Президенті «Abu Dhabi Global Market» еркін қаржы аймағын аралап көрді	Visit to the Abu Dhabi Global Market Free Financial Zone
Нұрсұлтан Назарбаев Жаңартылатын энергия көздері жөніндегі халықаралық агенттіктің бас директоры Аднан Әминмен кездесті	Meeting with the IRENA Director-General Adnan Z. Amin
Мемлекет басшысы Дүниежүзілік «Болашақтың энергиясы» саммитінің көрмесін аралап көрді	Visit to World Future Energy Summit exhibition
Қазақстан Президенті Х Дүниежүзілік «Болашақтың энергиясы» саммитіне қатысты	Participation in World Future Energy Summit
